,Month,Cor. selva,Cor. sierra,Cor. costa
0,Jan,0.6094500871389199,0.447842279660391,0.0549020624983802
1,Feb,0.4150363997803996,0.1866273242541307,0.5842574833359372
2,March,0.38557360553981,0.0618841327304747,0.6664270187064845
3,April,0.2862203561214314,0.055597668620369,0.6152959071845008
4,May,0.1854005142797944,0.2318422678358899,0.3615932511243596
5,June,0.2710926647939951,0.7715496609894745,-0.0096943535213145
6,July,0.2166247787439723,0.3800192603524918,0.0556831272464283
7,Aug,0.3007580120945843,0.3462300058176064,0.1191804542758282
8,Sept,0.205456527110402,0.28675752010556,0.445737500896987
9,Oct,0.344912227244696,0.3438634675214237,0.4562201369564923
10,Nov,0.4401664591487061,0.6150724775098141,0.3367263729552572
11,Dec,0.5804319530425307,0.3195873262506067,0.1490172626967631
